zip	ave_income	crimes
75217	38444	12143
75243	52533	10308
75216	35082	9916
75228	43198	9849
75220	62056	8950
75211	41233	8144
75227	41315	7836
75231	43503	6856
75204	59970	6409
75215	24560	5992
75241	40319	5673
75237	29804	5493
75229	98546	5443
75206	53460	5404
75224	40886	5016
75240	61418	4762
75208	50889	4462
75287	67074	4404
75238	62386	3987
75212	31330	3954
75232	50308	3863
75201	102234	3822
75219	65635	3705
75203	28168	3576
75235	42734	3521
75214	75722	3045
75218	70322	2758
75247	17112	2718
75210	23389	2486
75202	70260	2344
75223	44632	2324
75253	43463	2207
75207	48900	2207
75248	103341	2063
75236	41180	2044
75226	49167	2003
75233	47741	1924
75230	101998	1845
75225	180430	1806
75209	95625	1767
75252	81923	1491
75249	56546	1126
75251	76352	1080
75244	73934	1039
75234	66553	697
75205	155661	617
75246	35034	565
75051	41037	89
75019	118033	63
75116	56426	57
75134	47501	50
75088	83314	30
75042	47446	27
75149	55670	18
75089	76360	15
75150	56031	14
75040	59404	14
75080	68707	11
75052	66421	10
75115	69203	10
75043	59287	9
75159	53480	8
75006	64630	7
75062	60410	6
75180	46096	5
75001	76992	4
75060	51498	4
75181	74996	4
75154	66861	3
75137	71376	3
75081	70576	3
75074	66149	3
75048	76308	3
75007	81597	2
75126	67767	2
75082	113052	1
75032	101395	1
75061	46428	1
75050	49618	1
76018	68201	1
75141	42944	1
75041	46270	1
75087	79989	1
