zip	crimes	family_hh	non_family_hh	total_hh
75217	12143	16376	3769	20145
75243	10308	14139	13287	27426
75216	9916	12040	4452	16492
75228	9849	16010	8169	24179
75220	8950	10876	3987	14863
75211	8144	14558	4281	18839
75227	7836	11690	3642	15332
75231	6856	11241	10798	22039
75204	6409	3517	6209	9726
75215	5992	4176	2767	6943
75241	5673	6188	1738	7926
75237	5493	3199	2476	5675
75229	5443	8266	2946	11212
75206	5404	6963	13590	20553
75224	5016	7346	2378	9724
75240	4762	10520	10814	21334
75208	4462	7315	3797	11112
75287	4404	9560	14907	24467
75238	3987	8407	4290	12697
75212	3954	4814	1100	5914
75232	3863	7712	2161	9873
75201	3822	491	1558	2049
75219	3705	3793	7364	11157
75203	3576	4152	1690	5842
75235	3521	3379	2182	5561
75214	3045	8191	7819	16010
75218	2758	5789	3887	9676
75247	2718	12	5	17
75210	2486	2084	1224	3308
75202	2344	95	352	447
75223	2324	3329	1326	4655
75253	2207	3917	1187	5104
75207	2207	9	0	9
75248	2063	9266	6061	15327
75236	2044	2660	1107	3767
75226	2003	428	615	1043
75233	1924	3255	943	4198
75230	1845	6974	6615	13589
75225	1806	5478	2991	8469
75209	1767	3452	3000	6452
75252	1491	5407	6242	11649
75249	1126	2420	452	2872
75251	1080	223	660	883
75244	1039	4530	2849	7379
75234	697	7332	3041	10373
75205	617	4968	4911	9879
75246	565	659	828	1487
75051	89	7748	2449	10197
75019	63	9844	2315	12159
75116	57	5153	1451	6604
75134	50	3066	897	3963
75088	30	6981	955	7936
75042	27	9508	2931	12439
75149	18	14466	4108	18574
75089	15	5177	814	5991
75150	14	14423	6545	20968
75040	14	13923	3052	16975
75080	11	11484	5659	17143
75052	10	14988	3562	18550
75115	10	10652	3148	13800
75043	9	14419	5460	19879
75159	8	3401	1103	4504
75006	7	11780	5172	16952
75062	6	10494	5637	16131
75180	5	4797	1326	6123
75001	4	1752	3192	4944
75060	4	11359	3469	14828
75181	4	4459	579	5038
75154	3	7566	1398	8964
75137	3	5111	1157	6268
75081	3	8871	3480	12351
75074	3	9580	3434	13014
75048	3	2811	493	3304
75007	2	13869	3614	17483
75126	2	3055	519	3574
75082	1	4382	1065	5447
75032	1	4056	811	4867
75061	1	12821	5980	18801
75050	1	9260	5012	14272
76018	1	6309	1187	7496
75141	1	669	300	969
75041	1	7951	2807	10758
75087	1	4765	1120	5885
