zip	housing_units	crimes
75217	21610	12143
75243	29180	10308
75216	18292	9916
75228	25423	9849
75220	15592	8950
75211	19750	8144
75227	16130	7836
75231	24004	6856
75204	10990	6409
75215	8252	5992
75241	8289	5673
75237	5993	5493
75229	11536	5443
75206	22221	5404
75224	10244	5016
75240	22959	4762
75208	11873	4462
75287	26503	4404
75238	13201	3987
75212	6324	3954
75232	10234	3863
75201	2323	3822
75219	12289	3705
75203	6436	3576
75235	5798	3521
75214	17017	3045
75218	10047	2758
75247	25	2718
75210	3857	2486
75202	476	2344
75223	4934	2324
75253	5939	2207
75207	4	2207
75248	16081	2063
75236	4072	2044
75226	1287	2003
75233	4364	1924
75230	14505	1845
75225	8853	1806
75209	6975	1767
75252	12229	1491
75249	2921	1126
75251	1027	1080
75244	7966	1039
75234	10589	697
75205	10683	617
75246	1700	565
75051	10673	89
75019	12484	63
75116	6796	57
75134	4128	50
75088	8082	30
75042	12721	27
75149	19389	18
75089	6126	15
75150	22473	14
75040	17394	14
75080	17731	11
75052	19489	10
75115	14154	10
75043	20420	9
75159	4862	8
75006	17546	7
75062	16901	6
75180	6482	5
75001	5299	4
75060	15315	4
75181	5167	4
75154	9436	3
75137	6449	3
75081	12634	3
75074	13575	3
75048	3359	3
75007	17768	2
75126	3728	2
75082	5844	1
75032	5185	1
75061	19421	1
75050	15422	1
76018	7650	1
75141	1086	1
75041	11094	1
75087	6191	1
