zip	crimes	pop	malepop	femalepop
75217	12143	72437	36060	36377
75243	10308	59610	29072	30538
75216	9916	49440	23350	26090
75228	9849	65884	31588	34296
75220	8950	50597	27986	22611
75211	8144	68730	35050	33680
75227	7836	49019	23705	25314
75231	6856	52363	27570	24793
75204	6409	20718	11508	9210
75215	5992	18643	8640	10003
75241	5673	23815	10695	13120
75237	5493	12697	5563	7134
75229	5443	30994	15584	15410
75206	5404	39693	21936	17757
75224	5016	32553	15881	16672
75240	4762	49931	26114	23817
75208	4462	35800	18941	16859
75287	4404	44816	22189	22627
75238	3987	31366	15065	16301
75212	3954	22239	10852	11387
75232	3863	28773	13225	15548
75201	3822	3324	1680	1644
75219	3705	22682	13223	9459
75203	3576	19746	10796	8950
75235	3521	17438	9762	7676
75214	3045	35533	17655	17878
75218	2758	21682	10312	11370
75247	2718	250	230	20
75210	2486	9369	4261	5108
75202	2344	1423	903	520
75223	2324	15813	8034	7779
75253	2207	15796	8005	7791
75207	2207	8121	6059	2062
75248	2063	33211	16217	16994
75236	2044	10113	4736	5377
75226	2003	2693	1685	1008
75233	1924	13760	6887	6873
75230	1845	27641	12983	14658
75225	1806	20157	9241	10916
75209	1767	14697	7207	7490
75252	1491	22557	11218	11339
75249	1126	9161	4289	4872
75251	1080	1373	745	628
75244	1039	17206	8633	8573
75234	697	29676	14909	14767
75205	617	24156	11432	12724
75246	565	4686	2671	2015
75051	89	31257	15165	16092
75019	63	35805	17683	18122
75116	57	18215	8558	9657
75134	50	11607	5430	6177
75088	30	24890	12292	12598
75042	27	38918	20130	18788
75149	18	54541	26305	28236
75089	15	18267	9101	9166
75150	14	55353	26794	28559
75040	14	55409	27535	27874
75080	11	43244	21490	21754
75052	10	56225	27383	28842
75115	10	37755	17985	19770
75043	9	53389	25919	27470
75159	8	14208	7684	6524
75006	7	45990	23046	22944
75062	6	41631	20932	20699
75180	5	19446	9515	9931
75001	4	8175	4112	4063
75060	4	45221	23068	22153
75181	4	16326	7810	8516
75154	3	27376	13592	13784
75137	3	17779	8300	9479
75081	3	32637	16098	16539
75074	3	37589	19450	18139
75048	3	9801	4878	4923
75007	2	50357	24726	25631
75126	2	10908	5399	5509
75082	1	15432	7723	7709
75032	1	14256	7262	6994
75061	1	53265	27229	26036
75050	1	38160	19474	18686
76018	1	24099	11933	12166
75141	1	2852	1413	1439
75041	1	31621	15910	15711
75087	1	16792	8300	8492
