beat	no_of_crimes
318	2014
521	1994
252	1836
534	1735
523	1658
143	1634
635	1564
416	1522
744	1514
614	1463
154	1454
233	1390
132	1384
513	1361
522	1342
216	1305
153	1289
257	1249
654	1248
552	1244
445	1233
431	1190
644	1189
456	1176
632	1176
413	1175
357	1171
219	1164
131	1160
125	1160
537	1135
641	1132
432	1120
141	1113
535	1107
122	1105
745	1082
455	1069
231	1065
223	1062
323	1050
643	1047
224	1043
454	1037
553	1018
452	1011
151	1009
631	1005
612	1000
336	989
541	987
241	982
234	981
623	977
115	971
121	971
743	968
352	967
447	967
124	964
338	963
227	962
613	955
332	954
443	951
512	942
232	940
337	939
248	938
538	935
356	934
155	933
258	932
325	932
237	931
333	930
434	929
327	929
114	926
517	921
736	916
451	915
625	915
542	912
437	911
133	902
642	892
331	889
412	887
426	884
215	882
235	876
444	874
351	874
424	873
225	871
442	868
611	864
622	863
256	863
433	861
415	861
653	857
446	856
411	856
255	855
735	855
526	854
516	847
135	845
214	837
226	834
326	830
514	828
228	816
354	811
441	799
134	798
436	791
343	791
144	787
751	786
315	784
313	783
515	781
724	780
554	773
721	771
422	769
423	767
533	765
417	765
536	764
355	758
435	753
253	751
346	748
112	745
532	744
322	742
311	740
544	740
734	738
212	734
324	732
741	732
728	727
414	722
113	717
715	716
145	716
714	713
242	709
748	707
633	707
525	706
236	699
142	698
152	697
321	697
353	694
421	691
556	689
737	678
218	678
723	669
156	668
726	667
756	666
344	666
317	665
713	665
211	663
146	663
652	655
222	648
251	648
725	646
345	645
111	636
246	630
425	629
752	627
453	624
254	621
524	621
545	617
621	616
217	611
651	610
335	609
243	609
722	606
624	604
754	604
123	601
316	600
312	597
732	590
747	590
546	581
711	578
742	578
334	576
753	569
213	557
731	554
755	543
733	542
727	534
551	532
247	514
757	510
238	509
244	508
328	508
555	503
347	500
341	486
342	482
716	482
717	482
746	480
543	478
245	473
348	457
712	436
116	422
221	398
314	358
136	321
634	273
539	63
229	41
