day	zip_code	no_of_crimes
Fri	75217	1807
Wed	75217	1776
Thu	75217	1738
Sun	75217	1726
Mon	75217	1705
Tue	75217	1704
Sat	75217	1686
Fri	75243	1638
Sun	75220	1523
Wed	75243	1508
Thu	75228	1508
Fri	75216	1492
Sat	75243	1490
Mon	75216	1488
Sat	75216	1475
Mon	75243	1463
Mon	75228	1461
Thu	75243	1455
Sat	75220	1450
Fri	75220	1449
Fri	75228	1427
Tue	75216	1406
Sun	75228	1396
Tue	75243	1389
Wed	75228	1382
Wed	75216	1370
Sun	75243	1365
Sat	75228	1363
Thu	75216	1356
Sun	75216	1328
Tue	75228	1312
Sun	75211	1220
Mon	75227	1216
Mon	75220	1215
Sat	75211	1197
Tue	75227	1191
Fri	75211	1174
Mon	75211	1170
Wed	75211	1149
Fri	75227	1138
Thu	75220	1137
Tue	75211	1129
Tue	75220	1112
Sat	75227	1109
Thu	75211	1105
Thu	75227	1078
Sat	75231	1074
Wed	75220	1064
Sun	75227	1064
Wed	75227	1040
Fri	75231	1040
Sat	75204	1032
Fri	75204	1005
Mon	75231	983
Tue	75231	980
Sun	75204	976
Sun	75231	963
Fri	75215	929
Wed	75231	923
Fri	75229	922
Fri	75241	920
Tue	75215	920
Wed	75215	908
Wed	75204	894
Thu	75231	893
Sat	75215	858
Mon	75204	851
Sat	75206	841
Sat	75229	840
Tue	75204	839
Mon	75241	837
Sun	75237	826
Sat	75241	823
Mon	75215	821
Fri	75237	814
Thu	75204	812
Fri	75240	810
Thu	75215	809
Thu	75241	807
Tue	75241	803
Sat	75237	800
Thu	75229	794
Mon	75237	789
Wed	75241	786
Tue	75237	783
Thu	75206	777
Fri	75206	777
Mon	75206	762
Fri	75224	759
Tue	75206	755
Wed	75229	753
Thu	75237	750
Sun	75206	749
Sat	75240	747
Sun	75215	747
Wed	75206	743
Mon	75224	740
Thu	75224	733
Tue	75229	731
Wed	75237	731
Wed	75224	728
Sat	75224	714
Sun	75229	706
Sun	75224	702
Fri	75287	700
Mon	75229	697
Sun	75241	697
Fri	75208	691
Mon	75240	675
Mon	75287	658
Sun	75208	656
Thu	75287	651
Thu	75240	648
Tue	75240	647
Tue	75224	640
Sat	75208	638
Thu	75208	632
Sun	75240	627
Wed	75208	622
Tue	75287	619
Wed	75287	612
Mon	75208	612
Tue	75208	611
Wed	75238	609
Wed	75240	608
Fri	75212	606
Tue	75232	603
Sat	75201	603
Fri	75201	602
Fri	75219	602
Fri	75238	600
Sat	75219	596
Sun	75201	594
Sun	75219	589
Wed	75212	589
Sun	75238	584
Sun	75287	582
Fri	75232	582
Sat	75287	582
Sun	75212	574
Thu	75212	570
Mon	75232	569
Sat	75238	565
Sat	75212	561
Sat	75203	554
Tue	75238	553
Mon	75238	542
Mon	75212	539
Wed	75232	538
Tue	75235	537
Sun	75232	535
Thu	75238	534
Thu	75201	530
Thu	75232	523
Mon	75201	522
Thu	75203	521
Sat	75235	521
Fri	75235	520
Fri	75203	518
Wed	75235	515
Tue	75212	515
Sat	75232	513
Mon	75203	509
Wed	75201	506
Wed	75219	502
Wed	75203	501
Mon	75235	497
Sun	75203	487
Tue	75203	486
Thu	75219	481
Thu	75214	478
Mon	75219	477
Fri	75214	475
Thu	75235	473
Tue	75201	465
Sun	75235	458
Tue	75219	458
Tue	75214	442
Mon	75214	438
Fri	75247	436
Wed	75214	434
Sat	75218	432
Sun	75247	430
Fri	75218	420
Sat	75214	411
Sat	75247	404
Thu	75218	402
Wed	75247	390
Thu	75247	390
Fri	75254	389
Sun	75210	384
Wed	75218	380
Tue	75218	380
Sat	75202	380
Mon	75218	377
Mon	75210	374
Fri	75202	373
Sat	75207	372
Sun	75202	372
Sat	75210	367
Sun	75214	367
Sun	75218	367
Tue	75210	362
Fri	75207	360
Thu	75254	356
Sun	75223	356
Thu	75210	351
Mon	75247	350
Sat	75223	343
Thu	75223	340
Sun	75254	336
Wed	75210	331
Mon	75236	329
Wed	75223	328
Sun	75226	327
Tue	75253	327
Fri	75253	326
Thu	75202	325
Wed	75254	325
Tue	75223	321
Fri	75223	320
Tue	75247	318
Wed	75202	318
Fri	75210	317
Thu	75248	317
Mon	75223	316
Wed	75207	316
Tue	75248	313
Sat	75253	312
Mon	75253	312
Thu	75253	311
Sun	75253	311
Sat	75225	309
Fri	75248	309
Wed	75253	308
Sat	75226	307
Tue	75236	306
Wed	75248	305
Thu	75207	303
Tue	75254	303
Mon	75207	302
Fri	75236	301
Wed	75226	299
Sat	75254	297
Tue	75202	296
Sat	75248	296
Tue	75230	292
Mon	75254	291
Sun	75207	290
Mon	75233	289
Fri	75230	289
Fri	75226	288
Thu	75233	287
Wed	75233	287
Sat	75236	285
Fri	75233	284
Sun	75236	284
Wed	75230	283
Mon	75202	280
Thu	75225	273
Thu	75230	272
Mon	75225	272
Thu	75236	272
Sun	75248	270
Fri	75209	269
Sun	75233	269
Wed	75225	268
Wed	75236	267
Wed	75209	266
Tue	75209	266
Thu	75226	266
Tue	75207	264
Mon	75209	260
Sat	75233	260
Tue	75226	259
Mon	75226	257
Mon	75248	253
Thu	75209	251
Tue	75233	248
Mon	75230	245
Fri	75225	244
Tue	75252	243
Sat	75209	242
Sun	75230	237
Thu	75252	232
Sat	75230	227
Fri	75252	221
Tue	75225	221
Sun	75225	219
Sun	75209	213
Wed	75252	206
Mon	75252	203
Sat	75252	194
Sun	75252	192
Mon	75249	186
Sun	75249	181
Tue	75251	181
Fri	75244	178
Mon	75251	176
Fri	75251	173
Fri	75249	162
Tue	75249	159
Wed	75251	158
Mon	75244	157
Sat	75244	156
Wed	75249	152
Thu	75249	146
Tue	75244	143
Wed	75244	142
Thu	75244	140
Sat	75249	140
Thu	75251	132
Thu	NULL	132
Sat	75251	131
Sun	75251	129
Sun	75244	123
Wed	NULL	121
Sun	NULL	117
Sat	NULL	116
Wed	75234	114
Fri	NULL	109
Fri	75205	108
Fri	75234	105
Tue	75234	104
Thu	75234	104
Mon	75234	100
Tue	NULL	98
Fri	75246	97
Thu	75246	96
Thu	75205	95
Tue	75205	93
Sat	75234	91
Sat	75246	84
Wed	75205	82
Mon	75205	82
Sat	75205	81
Sun	75234	79
Wed	75246	78
Sun	75205	76
Tue	75246	74
Mon	NULL	74
Mon	75246	69
Sun	75246	67
Fri	75019	16
Fri	75051	15
Wed	75051	15
Sun	75051	15
Tue	75051	15
Tue	75019	15
Tue	75116	12
Mon	75051	12
Thu	75051	11
Thu	75116	10
Fri	75116	9
Fri	75134	9
Wed	75116	8
Wed	75134	8
Tue	75134	8
Sat	75019	8
Mon	75019	8
Mon	75134	7
Mon	75116	7
Thu	75042	7
Sun	75134	7
Sat	75116	6
Fri	75042	6
Sun	75088	6
Fri	75088	6
Sat	75051	6
Thu	75019	6
Thu	75134	6
Wed	75019	5
Thu	75150	5
Fri	75149	5
Sun	75019	5
Sat	75088	5
Sat	75134	5
Tue	75042	5
Tue	75149	5
Sun	75149	5
Sun	75116	5
Mon	75150	4
Thu	75040	4
Mon	75088	4
Sun	75089	4
Wed	75150	3
Thu	75089	3
Tue	75115	3
Tue	75080	3
Wed	75088	3
Sun	75180	3
Sun	75159	3
Wed	75052	3
Mon	75040	3
Tue	75088	3
Thu	75088	3
Sat	75043	3
Sat	75042	3
Fri	75089	3
Thu	75080	2
Thu	75052	2
Thu	75006	2
Tue	75081	2
Mon	75042	2
Mon	75043	2
Mon	75052	2
Mon	75060	2
Mon	75062	2
Sun	75150	2
Sun	75115	2
Sun	75043	2
Sun	75042	2
Mon	75089	2
Mon	75115	2
Wed	75040	2
Wed	75042	2
Wed	75080	2
Mon	75159	2
Sat	75137	2
Sat	75089	2
Fri	75040	2
Sat	75052	2
Sat	75040	2
Fri	75006	2
Sat	75006	2
Sat	75001	2
Sun	75154	1
Wed	75062	1
Thu	75061	1
Sun	75181	1
Wed	75089	1
Mon	75082	1
Mon	75081	1
Wed	75149	1
Mon	75080	1
Wed	75154	1
Mon	75141	1
Mon	75074	1
Thu	75062	1
Fri	75126	1
Mon	75048	1
Tue	75181	1
Mon	75180	1
Fri	75115	1
Tue	75180	1
Tue	75154	1
Tue	75074	1
Sat	75181	1
Sat	75159	1
Tue	75052	1
Fri	75087	1
Fri	75080	1
Sat	75149	1
Sat	75007	1
Fri	75062	1
Tue	75040	1
Fri	75060	1
Tue	75001	1
Sat	75115	1
Thu	76018	1
Fri	75043	1
Mon	75041	1
Thu	75159	1
Fri	75159	1
Mon	75006	1
Sat	75080	1
N/A	75217	1
Thu	75115	1
Thu	75007	1
Thu	75043	1
Sun	75032	1
Fri	75137	1
Thu	75050	1
N/A	75216	1
Fri	75181	1
Mon	75126	1
Sun	75048	1
Thu	75149	1
Sun	75060	1
Sun	75062	1
Thu	75074	1
Fri	75001	1
Wed	75048	1
Sun	75080	1
