reporting_area	no_of_crimes
1217	1981
4360	1480
1030	1417
1084	1295
1042	1242
4381	1042
1180	1034
1008	1002
4423	1000
3058	949
3059	930
4403	928
1027	872
4424	865
1022	859
6006	858
1132	813
3025	796
1246	780
6012	777
4552	764
9610	719
6062	717
4525	716
2123	712
2038	711
3055	686
1177	682
2209	674
1009	661
2208	658
4202	653
1216	652
1090	650
3091	644
6059	638
1238	637
1038	632
4441	628
1052	624
4077	610
2206	602
1013	600
8811	589
4380	586
4527	586
1041	581
1258	576
4529	572
1159	551
4445	543
9604	543
3070	542
4237	542
1257	541
3041	540
1245	539
4308	536
6007	530
2215	530
1021	527
3004	524
4376	517
4359	516
1055	514
4356	509
4347	505
4521	505
1256	503
3077	502
1053	500
4087	498
4307	498
6009	498
2202	496
1062	496
6060	495
4548	493
1063	492
3100	486
4365	484
4367	479
2002	478
1139	476
3005	470
1253	469
4262	469
4404	468
3067	463
1096	459
1254	454
4543	452
3057	448
6004	444
1104	443
4264	440
4326	434
2061	433
1243	432
4114	430
3111	429
1244	426
2203	423
3016	414
3026	411
2218	408
4406	405
1197	404
3112	404
1248	404
6037	401
3078	401
1020	398
4357	397
1203	397
3046	396
1252	396
1116	390
4436	389
3127	389
4153	387
3006	381
1247	380
4119	380
1202	379
4550	379
4311	376
3113	372
2016	364
4393	358
2066	357
3119	357
1100	356
6014	354
1181	353
3015	350
1031	348
3066	346
4397	345
4315	344
3103	342
4435	340
2098	337
1155	336
4173	333
6065	330
4549	330
3040	328
1158	327
3104	326
2198	323
1083	323
6005	322
1237	321
4327	321
4422	321
4451	320
4079	319
4421	317
3024	316
1161	315
4192	315
6058	314
4375	313
9608	312
2011	312
2006	310
1240	309
2205	307
4621	307
2003	306
3096	306
2005	305
4522	304
1160	302
1029	296
1004	295
2080	295
2216	290
9607	289
4078	288
1024	288
3093	287
3130	281
1164	281
6008	281
4523	279
4167	276
1204	276
4520	274
3114	274
4338	274
3101	272
4401	269
9602	269
1006	269
1157	267
3009	267
4610	264
3124	261
1115	260
4288	260
1012	260
8820	259
3042	258
4263	258
4370	257
1114	257
4100	257
3008	257
4198	257
4054	256
9611	256
4261	256
4526	255
1017	254
4372	253
3003	252
2201	252
1135	252
4343	252
4251	251
4624	250
2050	249
2014	248
2048	248
8824	247
1234	247
1175	246
1043	246
1250	245
4208	244
9605	244
4227	244
4080	241
4236	238
2039	238
1018	238
1074	238
3007	238
4076	236
2078	236
1136	236
2025	235
4112	234
4226	234
4141	234
4118	234
2200	232
3094	232
1215	232
1140	231
3054	231
4551	231
3010	230
2049	230
4130	229
2037	227
1156	227
4442	227
1025	223
4542	222
3098	222
2210	221
1218	221
1201	220
1093	220
2010	219
4129	219
4541	218
2168	217
3060	217
4519	217
4136	216
1186	216
3116	216
4188	216
4332	214
2004	213
3095	213
2121	212
4333	212
4254	212
1229	212
1103	211
4133	210
2196	210
1061	209
1107	209
3120	208
4530	208
4205	208
3105	207
1235	207
2046	207
2088	207
4377	206
2089	206
4159	206
3099	205
4368	205
6042	205
2009	204
1200	204
1239	204
1057	203
1230	203
4528	203
1001	203
3043	203
2015	203
2213	203
9603	202
1242	202
2113	201
1178	201
2060	201
2031	201
4186	201
4086	200
1010	200
4240	199
2028	199
4371	198
9601	198
1227	198
2001	197
1213	197
2072	197
4012	197
4093	197
2150	196
3044	196
6040	196
4134	196
1199	195
3106	194
3056	194
4388	193
2223	193
3115	192
4034	192
1085	192
1183	192
4620	192
2062	192
2051	192
1187	191
3118	191
4364	190
3108	190
4510	190
1251	190
2071	190
4185	190
1037	189
2149	189
3081	189
3110	189
3083	188
3068	188
8821	187
4171	186
3047	186
3102	185
1231	185
4349	185
4259	183
6025	183
4065	183
2190	183
4350	182
1182	181
4113	181
1236	180
1019	180
4514	180
4383	180
4137	179
4225	179
4317	179
1143	178
1134	177
4270	177
4395	176
4305	176
1068	176
4172	176
4553	176
4345	175
2197	175
2156	174
4104	173
1028	172
1128	172
4210	171
4243	171
2092	171
2087	171
2018	170
8822	170
4353	169
4213	169
4252	169
2118	168
1233	167
2063	167
1179	166
1007	166
1137	165
4095	165
2030	165
2167	165
3097	165
4228	165
4310	165
1081	164
2101	164
1129	164
1102	163
4352	162
4168	162
1023	161
4120	160
4184	160
2040	160
1185	160
4135	160
6018	160
1056	159
4043	159
4206	158
3107	158
4117	157
3122	156
4294	156
2134	155
4110	155
4313	155
2217	154
1113	154
1003	153
4348	153
2047	153
4146	152
1184	152
4337	152
4623	152
2045	151
2145	151
1145	151
4329	151
2058	150
2187	149
2212	149
1069	149
4336	148
4207	148
4242	148
4320	147
2228	147
1127	147
1171	146
4354	146
3092	146
4273	145
1095	145
4246	145
4434	144
6000	144
3035	143
6011	143
2073	143
2024	143
2177	142
3117	141
1255	141
4025	139
9609	139
4518	139
4068	139
1089	137
1151	137
4175	137
4321	137
4316	137
4139	137
4325	137
8808	137
4362	137
3027	136
4239	135
4160	134
4248	134
1152	134
4524	134
4099	134
3050	134
4214	133
3036	133
1210	133
4187	133
4230	132
4334	132
2214	131
4361	131
2227	131
2178	131
4289	130
2112	130
1141	129
4128	129
4282	129
2029	128
3076	127
9301	126
4215	126
2007	125
1206	125
4058	125
4223	125
2012	125
1073	124
4218	124
9102	124
4283	124
2204	124
2083	124
4355	124
2036	123
4088	123
2019	123
1174	123
4106	123
2128	123
4094	123
2084	122
4067	122
1130	121
4622	120
4512	120
1228	119
2085	119
1198	119
4517	119
1188	119
1098	119
4247	118
4182	118
4053	118
2021	118
1249	117
4300	117
4090	116
2094	116
2135	115
1026	115
2027	115
4452	115
2165	115
2103	114
1170	114
6002	114
4301	114
4174	113
4157	112
4258	112
6010	112
4276	112
2186	112
4009	111
4411	111
4323	110
8814	110
1224	110
4304	109
4309	109
2082	109
4211	109
2035	109
4103	109
4351	109
1131	109
4105	108
8807	108
6064	108
2172	108
1195	108
4019	108
4169	108
4123	108
2106	107
1232	107
1165	107
2020	107
1192	106
2074	106
2013	106
3011	106
1071	105
1153	104
1034	104
4224	104
1219	104
1070	103
2117	103
6067	102
4275	102
6043	102
2170	102
4322	102
4544	101
2159	100
2140	100
4155	100
1259	100
2173	100
4147	100
4363	99
1172	99
2211	98
4219	98
2230	97
1241	97
4140	97
4344	96
4015	96
3034	95
1133	95
2185	95
4392	95
2064	95
4193	94
3125	94
1099	94
4125	94
4109	93
4132	93
1126	93
1209	93
2195	92
4222	92
3121	92
1167	92
3017	92
6003	91
2180	91
2069	91
1101	91
3129	91
4039	91
1118	91
4149	91
4297	90
1005	90
4057	90
2067	90
4011	90
2100	90
2105	90
